Year,Area,Street,Street 2,Strange HTML
2011,Birmingham,Gravelleyí«lane,Gravelley lane,
2011,Birmingham,Gravelleyí«lane,Gravelley lane,
2011,Birmingham," Gravellyí«Lane,í«Erdington,í«Birmingham"," Gravelly Lane, Erdington, Birmingham",
2011,Birmingham,hairyí«lemoní«pubí«.suttoní«coldfield,hairy lemon pub .sutton coldfield,
2011,Birmingham,hairyí«lemoní«pubí«.suttoní«coldfield,hairy lemon pub .sutton coldfield,
2011,Birmingham,Hermatigeí«Road,Hermatige Road,
2011,Birmingham,Hermatigeí«Road,Hermatige Road,
2011,Birmingham,HERMITAGEí«DRIVE,HERMITAGE DRIVE,
2011,Birmingham,Highí«Street,High Street,
2011,Birmingham,highí«streetí«erdington,high street erdington,
2011,Birmingham," highí«street,í«erdington"," high street, erdington",
2011,Birmingham," Highí«Street,í«Erdington"," High Street, Erdington",
2011,Birmingham," Highí«Street,í«S/C"," High Street, S/C",
2011,Birmingham," Highí«Street,í«S/C"," High Street, S/C",
2011,Birmingham,Hightí«Stí«ErdINGTON,Hight St ErdINGTON,
2011,Birmingham,HUNTONí«HILL,HUNTON HILL,
2011,Birmingham," KFCí«retailí«outletí«,í«Erdingtoní«Highí«street"," KFC retail outlet , Erdington High street",
2011,Birmingham," Kingsburyí«Road,í«Erdington,í«B'ham"," Kingsbury Road, Erdington, B'ham",
2011,Birmingham,Kingstandingí«Circle,Kingstanding Circle,
2011,Birmingham," Ladywellí«Walk,í«Birmingham"," Ladywell Walk, Birmingham",
2011,Birmingham,Landsdowní«Road,Landsdown Road,
2011,Birmingham," LICHFIELDí«ROAD,í«MEREí«GREEN"," LICHFIELD ROAD, MERE GREEN",
2011,Birmingham," LICHFIELDí«ROAD,í«SUTTONí«COLDFIELD"," LICHFIELD ROAD, SUTTON COLDFIELD",
2011,Birmingham," Lindridgeí«Road,í«Suttoní«Coldfield"," Lindridge Road, Sutton Coldfield",
2011,Birmingham,littleí«astoní«lane,little aston lane,
2011,Birmingham,LONGFORDí«ROAD,LONGFORD ROAD,
2011,Birmingham," Longfordí«Road,í«Kingstanding,í«B'ham"," Longford Road, Kingstanding, B'ham",
2011,Birmingham,lowerí«parade,lower parade,
2011,Birmingham,LOWERí«PARADE,LOWER PARADE,
2011,Birmingham,lowerí«parade,lower parade,
2011,Birmingham,lowerí«parade,lower parade,
2011,Birmingham,lowerí«parade,lower parade,
2011,Birmingham,lowerí«parade,lower parade,
2011,Birmingham,LOWERí«PARADE,LOWER PARADE,
2011,Birmingham,Lowerí«Parade,Lower Parade,
2011,Birmingham,Lowerí«Parade,Lower Parade,
2011,Birmingham,LOWERí«PARADE,LOWER PARADE,
2011,Birmingham,Lowerí«Parade,Lower Parade,
2011,Birmingham,LOWERí«PARADE,LOWER PARADE,
2011,Birmingham,Lowerí«Parade,Lower Parade,
2011,Birmingham,LOWERí«PARADE,LOWER PARADE,
2011,Birmingham,LOWERí«PARADE,LOWER PARADE,
2011,Birmingham,Lowerí«Parade,Lower Parade,
2011,Birmingham,Lowerí«Parade,Lower Parade,
2011,Birmingham,Lowerí«Parade,Lower Parade,
2011,Birmingham,LOWERí«PARADE,LOWER PARADE,
2011,Birmingham,lowerí«paradeí«SC,lower parade SC,
2011,Birmingham,LOWERí«PARADEí«SUTTON,LOWER PARADE SUTTON,
2011,Birmingham,Lowerí«Paradeí«Suttoní«Coldfield,Lower Parade Sutton Coldfield,
2011,Birmingham," lowerí«parade,"," lower parade,",
2011,Birmingham," Lowerí«parade,í«Sutoní«Coldfield"," Lower parade, Suton Coldfield",
2011,Birmingham," Lowerí«Parade,í«Suttoní«Coldfield"," Lower Parade, Sutton Coldfield",
2011,Birmingham," lowerí«parade,í«suttoní«coldfield"," lower parade, sutton coldfield",
2011,Birmingham," Lowerí«Parade,í«Suttoní«Coldfield"," Lower Parade, Sutton Coldfield",
2011,Birmingham," Lowerí«Parade,í«Suttoní«Coldfield"," Lower Parade, Sutton Coldfield",
2011,Birmingham," Lowerí«Parade,í«Suttoní«Coldfield"," Lower Parade, Sutton Coldfield",
2011,Birmingham," Lowerí«Parade,í«Suttoní«Coldfield"," Lower Parade, Sutton Coldfield",
2011,Birmingham," Lowerí«Parade,í«Suttoní«Coldfield"," Lower Parade, Sutton Coldfield",
2011,Birmingham," Lowerí«Parade,í«Suttoní«Coldfield"," Lower Parade, Sutton Coldfield",
2011,Birmingham," Lowerí«Parade,í«Suttoní«Coldfield"," Lower Parade, Sutton Coldfield",
2011,Birmingham," Lowerí«Parade,í«Suttoní«Coldfield"," Lower Parade, Sutton Coldfield",
2011,Birmingham," Lowerí«Parade,í«Suttoní«Coldfield"," Lower Parade, Sutton Coldfield",
2011,Birmingham," Lowerí«Parade,í«Suttoní«Coldfield"," Lower Parade, Sutton Coldfield",
2011,Birmingham," Lowerí«Parade,í«Suttoní«Coldfield"," Lower Parade, Sutton Coldfield",
2011,Birmingham," Lowerí«Parade,í«Suttoní«Coldfield"," Lower Parade, Sutton Coldfield",
2011,Birmingham," Lowerí«Parade,í«Suttoní«Coldfield"," Lower Parade, Sutton Coldfield",
2011,Birmingham," Lowerí«Parade,í«Suttoní«Coldfieldí«towní«centre"," Lower Parade, Sutton Coldfield town centre",
2011,Birmingham," Lowerí«Parade,í«Suttoní«Coldfieldí«towní«Centre"," Lower Parade, Sutton Coldfield town Centre",
2011,Birmingham," Lowerí«Parade,í«Suttoní«Coldfield."," Lower Parade, Sutton Coldfield.",
2011,Birmingham,lydhamí«close,lydham close,
2011,Birmingham,Millí«Street,Mill Street,
2011,Birmingham," Millí«Street,í«Suttoní«Coldfield"," Mill Street, Sutton Coldfield",
2011,Birmingham,moorí«hallí«hotel,moor hall hotel,
