"Year","Area","Street","Street.2","Strange.HTML"
2011,"","Lower Parade","Lower Parade",""
2011,"","Lower Parade","LOWER PARADE",""
2011,"","Lower Parade","Lower Parade",""
2011,"","Lower Parade","LOWER PARADE",""
2011,"","Lower Parade","Lower Parade",""
2011,"","Lower Parade","LOWER PARADE",""
2011,"","Lower Parade","LOWER PARADE",""
2011,"","Lower Parade","Lower Parade",""
2011,"","Lower Parade","Lower Parade",""
2011,"","Lower Parade","Lower Parade",""
2011,"","Lower Parade","LOWER PARADE",""
2011,"","Lower Parade Sc","lower parade SC",""
2011,"","Lower Parade Sutton","LOWER PARADE SUTTON",""
2011,"","Lower Parade Sutton Coldfield","Lower Parade Sutton Coldfield",""
2011,"","Lower Parade ","lower parade,",""
2011,"","Lower Parade  Suton Coldfield","Lower parade, Suton Coldfield",""
2011,"","Lower Parade  Sutton Coldfield","Lower Parade, Sutton Coldfield",""
2011,"","Lower Parade  Sutton Coldfield","lower parade, sutton coldfield",""
2011,"","Lower Parade  Sutton Coldfield","Lower Parade, Sutton Coldfield",""
2011,"","Lower Parade  Sutton Coldfield","Lower Parade, Sutton Coldfield",""
2011,"","Lower Parade  Sutton Coldfield","Lower Parade, Sutton Coldfield",""
2011,"","Lower Parade  Sutton Coldfield","Lower Parade, Sutton Coldfield",""
2011,"","Lower Parade  Sutton Coldfield","Lower Parade, Sutton Coldfield",""
2011,"","Lower Parade  Sutton Coldfield","Lower Parade, Sutton Coldfield",""
2011,"","Lower Parade  Sutton Coldfield","Lower Parade, Sutton Coldfield",""
2011,"","Lower Parade  Sutton Coldfield","Lower Parade, Sutton Coldfield",""
2011,"","Lower Parade  Sutton Coldfield","Lower Parade, Sutton Coldfield",""
2011,"","Lower Parade  Sutton Coldfield","Lower Parade, Sutton Coldfield",""
2011,"","Lower Parade  Sutton Coldfield","Lower Parade, Sutton Coldfield",""
2011,"","Lower Parade  Sutton Coldfield","Lower Parade, Sutton Coldfield",""
2011,"","Lower Parade  Sutton Coldfield","Lower Parade, Sutton Coldfield",""
2011,"","Lower Parade  Sutton Coldfield Town Centre","Lower Parade, Sutton Coldfield town centre",""
2011,"","Lower Parade  Sutton Coldfield Town Centre","Lower Parade, Sutton Coldfield town Centre",""
2011,"","Lower Parade  Sutton Coldfield ","Lower Parade, Sutton Coldfield.",""
2011,"","Lydham Close","lydham close",""
2011,"","Mill St","Mill St",""
2011,"","Mill St  Sutton Coldfield","Mill St, Sutton Coldfield",""
2011,"","Moor Hall Hotel","moor hall hotel",""
2011,"","Mulberry Court Carpark  Kings Rd  Kingstanding  Birmingham","Mulberry Court Carpark, Kings Rd, Kingstanding, Birmingham",""
2011,"","Newhall Walk Car Park","newhall walk car park",""
2011,"","Newhall Walk Car Park","newhall walk car park",""
2011,"","O S H A","O/S H/A",""
2011,"","O S Litten Tree","O/s Litten Tree",""
2011,"","O S Litten Tree  S C Town Centre","O/S Litten Tree, S/C Town Centre",""
2011,"","O S Moomoo Bar  S C Town Centre","O/S MooMoo Bar, S/c Town Centre",""
2011,"","O S Moomoo Bar  South Parade","o/s moomoo bar, South parade",""
2011,"","O S Retro","o/s retro",""
2011,"","O S Retro   South Parade","O/S Retro , South parade",""
2011,"","O S Retros","O/S Retros",""
2011,"","O S Royal Hotel  Lichfield Rd","O/S Royal Hotel, Lichfield Rd",""
2011,"","O S Temple Bar","o/s temple bar",""
2011,"","O S Temple Bar","O/S Temple Bar",""
2011,"","O S Temple Bar  High St","O/S Temple Bar, High St",""
2011,"","O S Temple Bar  Lower Parade Sutton Coldfield ","O/s Temple Bar, Lower Parade Sutton Coldfield.",""
2011,"","O S Temple Bar  S C Town Centre","O/S Temple Bar, S/C Town Centre",""
2011,"","O S Temple Bar  Sutton Coldfield  West Milands","o/s temple bar, sutton coldfield, west milands",""
2011,"","O S The Hairy Lemon","o/s the hairy lemon",""
2011,"","On Pavement Outside The Royal Hotel","On pavement outside The Royal Hotel",""
2011,"","Ourtside Royal Pub  Lichfield Rd  Sutton Coldfield","Ourtside Royal Pub, Lichfield Rd, Sutton Coldfield",""
2011,"","Outside Glendale Tower  Lyndhurst Estate","outside Glendale Tower, Lyndhurst Estate",""
2011,"","Outside Litten Tree Pub  Birmingham Rd  Sutton Coldfield ","Outside Litten Tree pub, Birmingham Rd, Sutton Coldfield`",""
2011,"","Outside Moo Moo Club  Town Centre  Sutton Coldfield","Outside Moo Moo Club, Town Centre, Sutton Coldfield",""
2011,"","Outside Moo Moo Night Club  South Parade","Outside Moo Moo night club, South Parade",""
2011,"","Outside Temple Parade  Lower Parade","Outside Temple Parade, Lower Parade",""
2011,"","Outside The Temple Bar  Lower Parade  Sc","Outside the Temple Bar, Lower Parade, SC",""
2011,"","Parade   Sutton Coldfield","PARADE . SUTTON COLDFIELD",""
2011,"","Parade Sc","parade SC",""
2011,"","Parade Sutton Coldfield","parade sutton coldfield",""
2011,"","Parade Sutton Coldfield","parade sutton coldfield",""
2011,"","Parade Sutton Coldfield","PARADE SUTTON COLDFIELD",""
2011,"","Parade Sutton Town","parade sutton town",""
2011,"","Parade  Sutton Coldfield","Parade, Sutton Coldfield",""
2011,"","Parade  Sutton Coldfield","Parade, Sutton Coldfield",""
2011,"","Parade  Sutton Town Centre","Parade, Sutton Town Centre",""
2011,"","Parkeston Crescent  Kinsgatnding  B Ham","Parkeston Crescent, Kinsgatnding, B'ham",""
2011,"","Plants Grove Erdington","PLANTS GROVE ERDINGTON",""
2011,"","Pype Hayes Rd  Pype Hayes  B Ham","Pype Hayes Rd, Pype Hayes, B'ham",""
2011,"","Pype Hayes Rd  Pype Hayes  B Ham","Pype Hayes Rd, Pype Hayes, B'ham",""
2011,"","Pype Hayes Rd  Pype Hayes  B Ham","Pype Hayes Rd, Pype Hayes, B'ham",""
2011,"","Queen St","queen street",""
2011,"","Queen St","queen street",""
2011,"","Queen St","queen street",""
2011,"","Queen St","queen street",""
2011,"","Queen St Sutton Coldfield Town Centre","Queen St Sutton Coldfield Town centre",""
2011,"","Queslett Rd East","Queslett Rd East",""
2011,"","Redacre Rd Boldmere","REDACRE RD BOLDMERE",""
2011,"","Reservoir Rd","RESERVOIR ROAD",""
2011,"","Ridgeway","Ridgeway",""
2011,"","Slade Rd  Erdington  B Ham","Slade Rd, Erdington, B'ham",""
2011,"","Slade Rd  Erdington  B Ham","Slade Rd, Erdington, B'ham",""
2011,"","Soth Parade  Sutton Coldfield","Soth parade, Sutton Coldfield",""
2011,"","Soth Parade  Sutton Coldfield","Soth parade, Sutton Coldfield",""
2011,"","South Parade","south parade",""
2011,"","South Parade","SOUTH PARADE",""
2011,"","South Parade","SOUTH PARADE",""
2011,"","South Parade","South Parade",""
2011,"","South Parade","South Parade",""
2011,"","South Parade","South Parade",""
2011,"","South Parade","South Parade",""
2011,"","South Parade","SOUTH PARADE",""
2011,"","South Parade","South Parade",""
2011,"","South Parade","south parade",""
2011,"","South Parade","south parade",""
2011,"","South Parade","South Parade",""
2011,"","South Parade        Town Centre  Sutton Coldfield","South Parade ¸æçñîº¸æçÜîº¸æò∂åº¸æôÜêº¸æçñîº¸æåÉ§º town centre, Sutton Coldfield",""
2011,"","South Parade Sutton Coldfield","South Parade Sutton Coldfield",""
2011,"","South Parade Sutton Coldfield","South parade Sutton Coldfield",""
2011,"","South Parade Sutton Town Centre","South Parade Sutton Town centre",""
2011,"","South Parade  Sutton Coldfield","South Parade, Sutton Coldfield",""
2011,"","South Parade  Sutton Coldfield","South Parade, Sutton Coldfield",""
2011,"","South Parade  Sutton Coldfield","South parade, Sutton Coldfield",""
2011,"","South Parade  Sutton Coldfield","South Parade, Sutton Coldfield",""
2011,"","South Parade  Sutton Coldfield","South parade, Sutton Coldfield",""
2011,"","South Parade  Sutton Coldfield","South Parade, Sutton Coldfield",""
2011,"","South Parade  Sutton Coldfield","South parade, Sutton Coldfield",""
2011,"","South Parade  Sutton Coldfield","South Parade, Sutton Coldfield",""
